especievalida,nombrecomun,categoriaresidenciaaves,longitud,latitud
Clangula hyemalis,pato cola larga,Accidental (A),-116.6225123,31.8580587
Claravis pretiosa,tórtola azul,Residente (R),-89.0833,18.5
Clibanornis rubiginosus,"breñero rojizo, musguero castaño",Residente (R),-100.1943898,17.4221123
Coccothraustes abeillei,picogrueso encapuchado,Residente (R),-92.085257,15.086542
Coccothraustes vespertinus,picogrueso norteño,Residente (R),-99.505806,19.122159
Coccyzus americanus,cuclillo pico amarillo,Migratoria de verano (MV); Transitoria (T),-109.928211,23.657133
Coccyzus erythropthalmus,cuclillo pico negro,Transitoria (T),-89.5700288,20.9956834
Coccyzus minor,cuclillo manglero,Residente (R),-94.8912506,16.598907
Cochlearius cochlearius,garza cucharón,Residente (R),-102.7833333,18.0938889
Coereba flaveola,reinita mielera,Residente (R),-91.577934,16.967433
Colaptes auratus,"carpintero de pechera, carpintero de pechera común",Residente (R); Migratoria de invierno (MI),-97.4172547,18.9481856
Colaptes auricularis,carpintero corona gris,Residente (R),-100.1943898,17.4221123
Colaptes chrysoides,"carpintero collarejo, carpintero de pechera del noroeste",Residente (R),-109.544274,28.4573233
Colaptes rubiginosus,"carpintero olivo, carpintero oliváceo",Residente (R),-92.8918767,15.4802515
Colibri thalassinus,colibrí orejas violetas,Residente (R),-99.1195214,20.0073064
Colinus nigrogularis,codorniz yucateca,Residente (R),-89.0320753,18.4323762
Colinus virginianus,codorniz cotuí,Residente (R),-99.8870937,20.1947568
Columba livia,paloma doméstica,Residente (R),-100.1943898,17.4221123
Columbina inca,"tortolita cola larga, tórtola cola larga",Residente (R),-100.1943898,17.4221123
Columbina minuta,"tortolita pecho liso, tórtola pecho liso",Residente (R),-94,17.75
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",Residente (R),-109.544274,28.4573233
Columbina talpacoti,"tortolita canela, tórtola rojiza",Residente (R),-95.01698,18.35812
Contopus cinereus,"papamoscas tropical, pibí tropical",Residente (R),-89.0320753,18.4323762
Contopus cooperi,"papamoscas boreal, pibí boreal",Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),-93.646946,16.1749128
Contopus pertinax,"papamoscas José María, pibí tengofrío",Residente (R),-100.1943898,17.4221123
Contopus sordidulus,"papamoscas del oeste, pibí occidental",Migratoria de verano (MV); Transitoria (T),-109.544274,28.4573233
Contopus sordidulus sordidulus,pibí occidental,Migratoria de verano (MV); Transitoria (T),-98.67,20.5683333
Contopus virens,"papamoscas del este, pibí oriental",Transitoria (T),-93.09415,16.80234
Coragyps atratus,zopilote común,Residente (R),-95.01698,18.35812
Corthylio calendula,"reyezuelo de rojo, reyezuelo matraquita",Migratoria de invierno (MI),-100.1943898,17.4221123
Corvus brachyrhynchos,"cuervo americano, cuervo norteamericano",Residente (R),-116.623832,31.8729203
Corvus corax,cuervo común,Residente (R),-114.4300045,28.8824166
Corvus cryptoleucus,cuervo llanero,Residente (R); Migratoria de invierno (MI),-102.755127,28.9556669
Corvus imparatus,cuervo tamaulipeco,Residente (R),-97.7766478,23.7870218
Corvus sinaloae,cuervo sinaloense,Residente (R),-105.3478389,20.9613568
Cotinga amabilis,cotinga azuleja,Residente (R),-91.579609,16.970338
Coturnicops noveboracensis,polluela amarilla,Residente (R),-99.51,19.1383333
Crax rubra,hocofaisán,Residente (R),-89.800128,18.241381
Crotophaga ani,garrapatero pico liso,Residente (R),-86.8533333,20.4783333
Crotophaga sulcirostris,garrapatero pijuy,Residente (R),-100.1943898,17.4221123
Crotophaga sulcirostris sulcirostris,garrapatero pijuy,Residente (R),-93.9833333,16.5833333
Crypturellus boucardi,tinamú jamuey,Residente (R),-95.1468534,18.5228338
Crypturellus boucardi boucardi,tinamú jamauey,Residente (R),-91.3086667,16.2011389
Crypturellus cinnamomeus,tinamú canelo,Residente (R),-100.1943898,17.4221123
Crypturellus soui,tinamú menor,Residente (R),-91.577934,16.967433
Cyanerpes cyaneus,"mielero pata roja, mielero patas rojas",Residente (R),-100.1943898,17.4221123
Cyanerpes lucidus,"mielero brillante, mielero patas amarillas",Residente (R),-92.3166667,15.15
Cyanocitta stelleri,"chara copetona, chara crestada",Residente (R),-98.03407,20.211076
Cyanocompsa parellina,colorín azulnegro,Residente (R),-95.01698,18.35812
Cyanocompsa parellina parellina,colorín azul negro,Residente (R),-91.3019444,16.2021944
Cyanocorax beecheii,"chara de Beechy, chara sinaloense",Residente (R),-108.946781,27.043627
Cyanocorax dickeyi,chara pinta,Residente (R),-105.837406,23.480019
Cyanocorax sanblasianus,chara de San Blas,Residente (R),-105.0348185,19.4473107
Cyanocorax sanblasianus sanblasianus,chara de San Blas,Residente (R),-103.965,18.9333333
Cyanocorax yncas,chara verde,Residente (R),-100.1943898,17.4221123
Cyanocorax yucatanicus,chara yucateca,Residente (R),-89.9012736,18.5338613
Cyanocorax yucatanicus yucatanicus,chara yucateca,Residente (R),-88.7233333,20.6683333
Cyanoloxia cyanoides,"picogordo azulnegro, picogordo negro",Residente (R),-91.9898987,17.3781632
Cyanolyca cucullata,chara gorro azul,Residente (R),-97.0159721,19.5298923
Cyanolyca mirabilis,chara garganta blanca,Residente (R),-100.1943898,17.4221123
Cyanolyca nanus,chara enana,Residente (R),-96.640509,17.197801
Cyanolyca pumilo,chara de niebla,Residente (R),-92.573715,16.66719
Cyclarhis gujanensis,"vireón ceja rufa, vireón cejas canela",Residente (R),-89.5540482,21.0237991
Cygnus buccinator,cisne trompetero,Accidental (A),-97.500288,25.8836913
Cygnus columbianus,cisne de tundra,Migratoria de invierno (MI),-115.9249783,31.6752478
Cygnus columbianus columbianus,cisne de tundra,Migratoria de invierno (MI),-116.1608594,32.4345135
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",Residente (R),-100.1943898,17.4221123
Cynanthus canivetii,"esmeralda oriental, esmeralda tijereta",Residente (R),-98.947105,22.0814097
Cynanthus forficatus,"esmeralda de Cozumel, esmeralda de Isla Cozumel",Residente (R),-87.01397,20.40559
Cynanthus latirostris,colibrí pico ancho,Residente (R),-109.544274,28.4573233
Cypseloides niger,vencejo negro,Migratoria de verano (MV); Transitoria (T),-96.0906816,19.0674862
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",Residente (R),-100.0429373,19.0444481
Cyrtonyx montezumae,codorniz de Moctezuma,Residente (R),-107.1130085,29.2594112
Cyrtonyx montezumae montezumae,codorniz moctezuma,Residente (R),-104.9233333,23.7766667
Cyrtonyx ocellatus,codorniz ocelada,Residente (R),-92.474119,16.545467
Dactylortyx thoracicus,codorniz silbadora,Residente (R),-93.00521,15.8425
Dactylortyx thoracicus thoracicus,codorniz silbadora,Residente (R),-96.9283333,19.545
Dendrocincla anabatina,trepatroncos sepia,Residente (R),-95.1468534,18.5228338
Dendrocincla anabatina anabatina,trepatroncos sepia,Residente (R),-91.3060556,16.2063611
Dendrocincla homochroa,"trepatroncos canelo, trepatroncos rojizo",Residente (R),-90.2985587,17.98888
Dendrocincla homochroa homochroa,trepatroncos rojizo,Residente (R),-91.3080556,16.1906389
Dendrocolaptes picumnus,trepatroncos vientre barrado,Residente (R),-91.5083333,16.4958333
Dendrocolaptes sanctithomae,trepatroncos barrado,Residente (R),-95.1468534,18.5228338
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",Residente (R),-87.084185,20.618312
Dendrocygna bicolor,pijije canelo,Residente (R),-91.9952202,17.7202149
Dendrortyx barbatus,codorniz coluda veracruzana,Residente (R),-98.03407,20.211076
Dendrortyx leucophrys,codorniz coluda centroamericana,Residente (R),-92.085257,15.086542
Dendrortyx macroura,codorniz coluda transvolcánica,Residente (R),-100.1943898,17.4221123
Diglossa baritula,"picaflor canelo, picochueco vientre canela",Residente (R),-100.1943898,17.4221123
Dives dives,tordo cantor,Residente (R),-95.01698,18.35812
Dolichonyx oryzivorus,tordo arrocero,Transitoria (T),-87.6154974,20.0784255
Doricha eliza,"colibrí cola hendida, colibrí tijereta mexicano",Residente (R),-87.7436041,21.5312705
Doricha enicura,"colibrí tijereta, colibrí tijereta guatemalteco",Residente (R),-92.474119,16.545467
Dromococcyx phasianellus,cuclillo faisán,Residente (R),-93.105829,16.8292874
Dryobates arizonae,carpintero de Arizona,Residente (R),-103.5252348,20.6998431
Dryobates fumigatus,carpintero café,Residente (R),-100.1943898,17.4221123
Dryobates nuttallii,carpintero californiano,Residente (R),-115.735,30.97
Dryobates pubescens,carpintero albinegro menor,Residente (R),-116.9049597,32.202071
Dryobates scalaris,carpintero mexicano,Residente (R),-103.389442,20.657566
Dryobates scalaris scalaris,carpintero mexicano,Residente (R),-96.9283333,19.545
Dryobates stricklandi,"carpintero de Strickland, carpintero transvolcánico",Residente (R),-99.7747421,19.1110448
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",Residente (R),-104.242,23.3858
Dryocopus lineatus,carpintero lineado,Residente (R),-100.1943898,17.4221123
Dumetella carolinensis,maullador gris,Migratoria de invierno (MI),-89.0320753,18.4323762
Dysithamnus mentalis,hormiguero sencillo,Residente (R),-91.192916,16.248622
Ectopistes migratorius,paloma migratoria,Migratoria de invierno (MI),-97.1,18.85
Egretta caerulea,"garceta azul, garza azul",Residente (R); Migratoria de invierno (MI),-99.4973373,19.1531034
Egretta rufescens,"garceta rojiza, garza rojiza",Residente (R); Migratoria de invierno (MI),-111.2332262,25.7185884
Egretta rufescens rufescens,garceta rojiza,Residente (R); Migratoria de invierno (MI),-110.5833333,25
Egretta thula,"garceta pie-dorado, garza dedos dorados",Residente (R); Migratoria de invierno (MI),-86.9611948,20.7597896
Egretta thula thula,garceta pie-dorado,Residente (R); Migratoria de invierno (MI),-98.5833333,16.3666667
Egretta tricolor,"garceta tricolor, garza tricolor",Residente (R); Migratoria de invierno (MI),-103.5259514,29.1354998
Elaenia flavogaster,"elenia vientre amarillo, mosquero elenia copetón",Residente (R),-95.01698,18.35812
Elaenia frantzii,mosquero elenia de montaña,Residente (R),-93.1270873,17.1756392
Elaenia martinica,"elenia caribeña, mosquero elenia caribeño",Residente (R),-86.96811,20.4879092
Elanoides forficatus,milano tijereta,Migratoria de verano (MV); Transitoria (T),-91.6739065,16.0997026
Elanus leucurus,milano cola blanca,Residente (R),-105.4627488,28.2696381
Elanus leucurus leucurus,milano cola blanca,Residente (R),-95.0833333,18.4166667
Electron carinatum,"momoto pico quilla, momoto pico quillado",Residente (R),-95.4333333,18.3833333
Emberiza pusilla,escribano pigmeo,Accidental (A),-114.4738353,27.5377205
Empidonax affinis,"mosquero pinero, papamoscas pinero",Residente (R),-99.2333333,18.945
Empidonax affinis affinis,mosquero pinero,Residente (R),-99.2833333,19.325
Empidonax albigularis,"mosquero garganta blanca, papamoscas garganta blanca",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-101.665324,19.675089
Empidonax albigularis albigularis,mosquero garganta blanca,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-99.3316667,18.735
Empidonax alnorum,"mosquero ailero, papamoscas ailero",Transitoria (T),-94.4886179,17.9782474
Empidonax difficilis,"mosquero californiano, papamoscas amarillo del pacífico",Residente (R); Migratoria de invierno (MI),-100.1943898,17.4221123
Empidonax flavescens,"mosquero amarillento, papamoscas amarillo sureño",Residente (R),-95.1468534,18.5228338
Empidonax flaviventris,"mosquero vientre amarillo, papamoscas vientre amarillo",Migratoria de invierno (MI),-95.01698,18.35812
Empidonax fulvifrons,"mosquero pecho leonado, papamoscas pecho canela",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-104.242,23.3858
Empidonax hammondii,"mosquero de Hammond, papamoscas de Hammond",Migratoria de invierno (MI),-100.1943898,17.4221123
Empidonax minimus,"mosquero mímimo, papamoscas chico",Migratoria de invierno (MI),-100.1943898,17.4221123
Empidonax oberholseri,"mosquero oscuro, papamoscas matorralero",Migratoria de invierno (MI),-103.518863,19.533456
Empidonax occidentalis,"mosquero barranqueño, papamoscas amarillo barranqueño",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-100.1943898,17.4221123
Empidonax traillii,"mosquero saucero, papamoscas saucero",Migratoria de invierno (MI),-113.5321021,31.3265914
Empidonax traillii traillii,mosquero saucero,Migratoria de invierno (MI),-105.8566667,22.9916667
Empidonax virescens,"mosquero verdoso, papamoscas verdoso",Transitoria (T),-92.7310708,15.7280218
Empidonax wrightii,"mosquero gris, papamoscas bajacolita",Migratoria de invierno (MI),-109.928211,23.657133
Eremophila alpestris,alondra cornuda,Residente (R),-100.581523,25.021968
Eucometis penicillata,tangara cabeza gris,Residente (R),-88.501106,20.574057
Eudocimus albus,ibis blanco,Residente (R); Migratoria de invierno (MI),-97.719033,20.0042942
Eugenes fulgens,colibrí magnífico,Residente (R),-98.815118,18.927638
Eumomota superciliosa,"momoto ceja azul, momoto cejas azules",Residente (R),-89.504138,21.055955
Eumomota superciliosa superciliosa,momoto ceja azul,Residente (R),-88.5366667,20.67
Euphagus carolinus,tordo canadiense,Accidental (A),-117.0537472,32.3312382
Euphagus cyanocephalus,"tordo ojo amarillo, tordo ojos amarillos",Residente (R); Migratoria de invierno (MI),-108.0783333,25.46
Eupherusa cyanophrys,"colibrí miahuatleco, colibrí oaxaqueño",Residente (R),-96.4243948,15.9462477
Eupherusa eximia,colibrí cola rayada,Residente (R),-96.3405674,17.6638143
Eupherusa eximia eximia,colibrí cola rayada,Residente (R),-91.3065833,16.2028889
Eupherusa poliocerca,"colibrí cola blanca, colibrí guerrerense",Residente (R),-100.1943898,17.4221123
Eupherusa ridgwayi,ninfa mexicana,Residente (R),-104.929693,20.782789
Euphonia affinis,eufonia garganta negra,Residente (R),-92.8918767,15.4802515
Euphonia affinis affinis,eufonia garganta negra,Residente (R),-92.42,14.7166667
Euphonia godmani,eufonia garganta negra,Residente (R),-103.7424167,18.6990278
Euphonia gouldi,eufonia olivácea,Residente (R),-95.1468534,18.5228338
Euphonia gouldi gouldi,eufonia olivácea,Residente (R),-95.9333333,17.45
Euphonia hirundinacea,eufonia garganta amarilla,Residente (R),-87.4406214,20.2383617
Euphonia hirundinacea hirundinacea,eufonia garganta amarilla,Residente (R),-95.9333333,17.45
Euphonia minuta,eufonia vientre blanco,Residente (R),-90.7088498,16.6108612
Eupsittula canicularis,perico frente naranja,Residente (R),-100.1943898,17.4221123
Eupsittula nana,perico pecho sucio,Residente (R),-89.0320753,18.4323762
Euptilotis neoxenus,"quetzal orejón, trogón orejón",Residente (R),-108.163273,29.320693
Falco columbarius,halcón esmerejón,Migratoria de invierno (MI),-113.5288954,31.2964638
Falco columbarius columbarius,halcón esmerejón,Migratoria de invierno (MI),-108.0783333,25.46
Falco femoralis,halcón fajado,Residente (R),-98.314091,22.077748
Falco mexicanus,halcón mexicano,Residente (R); Migratoria de invierno (MI),-100.581523,25.021968
Falco peregrinus,halcón peregrino,Residente (R); Migratoria de invierno (MI),-114.4300045,28.8824166
Falco rufigularis,"halcón enano, halcón murcielaguero",Residente (R),-100.1943898,17.4221123
Falco sparverius,cernícalo americano,Residente (R); Migratoria de invierno (MI),-100.1943898,17.4221123
Florisuga mellivora,"colibrí capucha azul, colibrí nuca blanca",Residente (R),-92.8918767,15.4802515
Florisuga mellivora mellivora,colibrí nuca blanca,Residente (R),-93.5233333,16.0866667
Formicarius moniliger,hormiguero cholino maya,Residente (R),-91.577934,16.967433
Formicarius moniliger moniliger,hormiguero-gallito mexicano,Residente (R),-91.3078333,16.2011667
Forpus cyanopygius,"perico catarina, periquito catarino",Residente (R),-108.0783333,25.46
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,Residente (R),-106.2866667,23.7661111
Fregata magnificens,"fragata magnífica, fragata tijereta",Residente (R),-99.7637598,16.748347
Fregata minor,fragata pelágica,Residente (R),-112.4833333,20.1833333
Fulica americana,gallareta americana,Residente (R); Migratoria de invierno (MI),-104.0261225,18.8966598
Fulmarus glacialis,fulmar norteño,Migratoria de invierno (MI); Oceánica (O),-115.2693061,27.5563515
Galbula ruficauda,"jacamar cola canela, jacamar cola rufa",Residente (R),-94.9,18.5166667
Gallinago delicata,"agachona común, agachona norteamericana",Migratoria de invierno (MI),-99.4973373,19.1531034
Gallinula galeata,gallineta frente roja,Residente (R); Migratoria de invierno (MI),-99.4973373,19.1531034
Gavia adamsii,"colimbo de Adams, colimbo pico amarillo",Accidental (A),-114.0586853,27.7032015
Gavia arctica,colimbo ártico,Migratoria de invierno (MI),-110.898915,27.9185669
Gavia immer,"colimbo común, colimbo mayor",Migratoria de invierno (MI),-109.2345923,26.405194
Gavia pacifica,"colimbo del pacífico, colimbo pacífico",Migratoria de invierno (MI),-109.2345923,26.405194
Gavia stellata,colimbo menor,Migratoria de invierno (MI),-116.6287146,31.753972
Gelochelidon nilotica,charrán pico grueso,Residente (R); Migratoria de invierno (MI),-87.7436041,21.5312705
Geococcyx californianus,correcaminos norteño,Residente (R),-103.5738524,25.8777308
Geococcyx velox,correcaminos tropical,Residente (R),-89.6492958,20.2779781
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",Residente (R),-109.6914954,23.0485647
Geothlypis flavovelata,mascarita de Altamira,Residente (R),-99.0440333,22.9511222
Geothlypis formosa,chipe patilludo,Migratoria de invierno (MI),-95.01698,18.35812
Geothlypis nelsoni,mascarita matorralera,Residente (R),-98.03407,20.211076
Geothlypis philadelphia,"chipe de pechera, chipe enlutado",Migratoria de invierno (MI); Transitoria (T),-99.1033333,23.0933333
Geothlypis poliocephala,mascarita pico grueso,Residente (R),-89.0320753,18.4323762
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",Residente (R),-99.4973373,19.1531034
Geothlypis tolmiei,"chipe de Tolmie, chipe lores negros",Migratoria de invierno (MI),-100.1943898,17.4221123
Geothlypis trichas,mascarita común,Residente (R); Migratoria de invierno (MI),-89.0320753,18.4323762
Geotrygon montana,"paloma canela, paloma-perdiz rojiza",Residente (R),-92.8918767,15.4802515
Geotrygon montana montana,paloma-perdiz rojiza,Residente (R),-105.16,21.5283333
Geranoaetus albicaudatus,aguililla cola blanca,Residente (R),-91.9952202,17.7202149
Geranospiza caerulescens,gavilán zancón,Residente (R),-89.9012736,18.5338613
Glaucidium brasilianum,tecolote bajeño,Residente (R),-89.0320753,18.4323762
Glaucidium gnoma,tecolote serrano,Residente (R),-99.5689631,21.1376666
Glaucidium griseiceps,tecolote mesoamericano,Residente (R),-96.3405674,17.6638143
Glaucidium palmarum,tecolote colimense,Residente (R),-96.1680508,15.7369101
Glaucidium sanchezi,tecolote tamaulipeco,Residente (R),-99.2587,23.2363
Glyphorynchus spirurus,trepatroncos pico cuña,Residente (R),-95.1468534,18.5228338
Grallaria guatimalensis,hormiguero cholino escamoso,Residente (R),-92.474119,16.545467
Grallaria guatimalensis guatimalensis,hormiguero-cholino escamoso,Residente (R),-92.0933333,16.9016667
Granatellus sallaei,granatelo yucateco,Residente (R),-88.501106,20.574057
Granatellus sallaei sallaei,granatelo yucateco,Residente (R),-96.4833333,18.2
Granatellus venustus,granatelo mexicano,Residente (R),-96.1492538,15.7766433
Granatellus venustus venustus,granatelo mexicano,Residente (R),-105.78,22.985
Grus americana,grulla blanca,Accidental (A),-98.0566667,25.12
Gygis alba,charrán blanco,Accidental (A); Oceánica (O),-110.9901953,18.7331083
Gymnogyps californianus,cóndor californiano,Residente (R),-115.6101406,30.9651247
Gymnorhinus cyanocephalus,chara piñonera,Residente (R),-115.30667,30.78667
Habia fuscicauda,"piranga hormiguera garganta roja, tangara-hormiguera garganta roja",Residente (R),-89.9012736,18.5338613
Habia rubica,"piranga hormiguera corona roja, tangara-hormiguera corona roja",Residente (R),-100.1943898,17.4221123
Haematopus bachmani,ostrero negro,Residente (R),-114.1785049,27.8032469
Haematopus palliatus,ostrero americano,Residente (R); Migratoria de invierno (MI),-97.7375,23.7916667
Haemorhous cassinii,"pinzón de Cassin, pinzón serrano",Residente (R); Migratoria de invierno (MI),-107.8166667,28.95
Haemorhous mexicanus,pinzón mexicano,Residente (R),-99.0277157,19.2645383
Haemorhous purpureus,"pinzón colorado, pinzón purpúreo",Migratoria de invierno (MI),-116.413064,31.5807747
Haliaeetus leucocephalus,águila cabeza blanca,Residente (R); Migratoria de invierno (MI),-109.721219,29.310244
Hapalocrex flaviventer,polluela pecho amarillo,Residente (R),-94.087888,17.8998085
Haplospiza rustica,semillero pizarra,Residente (R),-93.6666667,17
Harpagus bidentatus,gavilán bidentado,Residente (R),-100.1943898,17.4221123
Harpia harpyja,águila arpía,Residente (R),-90.940876,16.111792
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",Residente (R),-100.1943898,17.4221123
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",Residente (R),-94.8912506,16.598907
Heliornis fulica,pájaro cantil,Residente (R),-92.4204254,18.3080847
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",Residente (R),-89.3645047,17.9672613
Helmitheros vermivorum,chipe gusanero,Migratoria de invierno (MI),-93.4158553,16.8591653
Henicorhina leucophrys,"chivirín pecho gris, saltapared pecho gris",Residente (R),-100.1943898,17.4221123
Henicorhina leucosticta,"chivirín pecho blanco, saltapared pecho blanco",Residente (R),-91.577934,16.967433
Herpetotheres cachinnans,halcón guaco,Residente (R),-100.1943898,17.4221123
Herpetotheres cachinnans cachinnans,halcón guaco,Residente (R),-91.0876944,16.0834722
Himantopus mexicanus,"candelero americano, monjita americana",Residente (R); Migratoria de invierno (MI),-97.7375,23.7916667
Hirundo rustica,"golondrina común, golondrina tijereta",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV); Transitoria (T),-101.0025846,25.4208434
Histrionicus histrionicus,pato arlequín,Accidental (A),-113.5469,28.9793
Hydrobates castro,paíño de Harcourt,Accidental (A); Oceánica (O),-93.8,13.6167
Hydrobates cheimomnestes,paíño de Ainley,Residente (R); Transitoria (T); Oceánica (O),-118.287216,28.905663
Hydrobates furcatus,paíño gris,Accidental (A); Oceánica (O),-118.2666667,29
Hydrobates homochroa,paíño cenizo,Residente (R); Transitoria (T); Oceánica (O),-116.1166667,30.5
Hydrobates leucorhous,paíño de Leach,Residente (R); Transitoria (T); Oceánica (O),-117.98483,29.698
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",Residente (R); Oceánica (O),-118.26741,29.00015
Hydrobates melania,paíño negro,Residente (R); Oceánica (O),-111.2557983,27.9689337
Hydrobates microsoma,paíño mínimo,Residente (R); Migratoria de invierno (MI); Oceánica (O),-111.2557983,27.9689337
Hydrobates socorroensis,paíño de Townsend,Residente (R); Transitoria (T); Oceánica (O),-118.335,29
Hydrobates tethys,paíño de Galápagos,Transitoria (T); Oceánica (O),-96.234524,15.476918
Hydrocoloeus minutus,gaviota menor,Accidental (A),-97.1484947,25.9482821
Hydroprogne caspia,"charrán caspia, charrán del caspio",Residente (R); Migratoria de invierno (MI),-99.7637598,16.748347
Hydropsalis maculicaudus,"tapacamino cola pinta, tapacaminos sabanero",Residente (R),-94,17.75
Hylocichla mustelina,"zorzal maculado, zorzal moteado",Migratoria de invierno (MI),-95.1468534,18.5228338
Hylomanes momotula,momoto enano,Residente (R),-95.1468534,18.5228338
Hylomanes momotula momotula,momoto enano,Residente (R),-95.2166667,17.8
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",Residente (R),-93.4664655,16.9145437
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",Residente (R),-96.8801082,18.624561
Ibycter americanus,caracara comecacao,Residente (R),-92.6548877,15.36281
Icteria virens,"buscabreña, chipe grande",Migratoria de invierno (MI); Migratoria de verano (MV),-100.1943898,17.4221123
Icteria virens virens,buscabreña,Migratoria de invierno (MI); Migratoria de verano (MV),-99.235,18.925
Icterus abeillei,"bolsero dorsioscuro, calandria flancos negros",Residente (R); Migratoria de invierno (MI),-101.3599994,20.684424
Icterus auratus,"bolsero yucateco, calandria dorso naranja",Residente (R),-89.5609001,20.8180651
Icterus bullockii,"bolsero calandria, calandria cejas naranjas",Migratoria de invierno (MI); Migratoria de verano (MV),-100.1943898,17.4221123
Icterus chrysater,"bolsero dorso dorado, calandria dorso amarillo",Residente (R),-86.952596,20.765151
Icterus chrysater chrysater,bolsero dorso dorado,Residente (R),-91.0833333,18.2166667
Icterus cucullatus,"bolsero encapuchado, calandria dorso negro menor",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-89.0320753,18.4323762
Icterus cucullatus cucullatus,bolsero encapuchado,Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-99.5,17.55
Icterus galbula,"bolsero de Baltimore, calandria de Baltimore",Migratoria de invierno (MI),-100.1943898,17.4221123
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",Residente (R),-100.1943898,17.4221123
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",Residente (R),-95.01698,18.35812
Icterus maculialatus,"bolsero guatemalteco, calandria guatemalteca",Residente (R),-93.1166666,16.7516666
Icterus mesomelas,"bolsero cola amarilla, calandria cola amarilla",Residente (R),-86.8497562,20.9745676
Icterus mesomelas mesomelas,bolsero cola amarilla,Residente (R),-91.0833333,18.2166667
Icterus parisorum,"bolsero tunero, calandria tunera",Residente (R); Migratoria de invierno (MI); Migratoria de verano (MV),-98.815118,18.927638
Icterus pectoralis,"bolsero pecho manchado, calandria pecho moteado",Residente (R),-100.1943898,17.4221123
Icterus pectoralis pectoralis,bolsero pecho manchado,Residente (R),-102.07,17.985
Icterus prosthemelas,"bolsero capucha negra, calandria caperuza negra",Residente (R),-95.01698,18.35812
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",Residente (R),-100.1943898,17.4221123
Icterus pustulatus pustulatus,bolsero dorso rayado,Residente (R),-99.5,17.55
Icterus spurius,"bolsero castaño, calandria castaña",Migratoria de invierno (MI); Migratoria de verano (MV),-95.01698,18.35812
Icterus spurius spurius,bolsero castaño,Migratoria de invierno (MI); Migratoria de verano (MV),-91.0833333,18.2166667
Icterus wagleri,"bolsero de Wagler, calandria de Wagler",Residente (R),-103.2419,20.29925
Icterus wagleri wagleri,bolsero de Wagler,Residente (R),-91.3088056,16.1921111
Ictinia mississippiensis,milano de Mississippi,Transitoria (T),-95.966681,18.849211
Ictinia plumbea,milano plomizo,Migratoria de verano (MV),-87.7233333,19.975
Ixobrychus exilis,avetoro menor,Residente (R); Migratoria de invierno (MI),-114.8360043,31.9750738
Ixobrychus exilis exilis,avetoro mínimo,Residente (R); Migratoria de invierno (MI),-97.965,22.465
Ixoreus naevius,"mirlo cinchado, mirlo pecho cinchado",Migratoria de invierno (MI),-114.4738353,27.5377205
Jabiru mycteria,cigüeña jabirú,Residente (R),-92.4204254,18.3080847
Jacana spinosa,jacana norteña,Residente (R),-91.9952202,17.7202149
Jacana spinosa spinosa,jacana norteña,Residente (R),-100.985,18.4183333
Junco bairdi,junco sudcaliforniano,Residente (R),-109.9762344,23.548595
Junco hyemalis,"junco ojo oscuro, junco ojos negros",Residente (R); Migratoria de invierno (MI),-117.0033333,32.5333333
Junco insularis,"junco de Isla Guadalupe, junco ojo oscuro",Residente (R),-118.3306099,29.10919
Junco phaeonotus,junco ojos de lumbre,Residente (R),-98.03407,20.211076
Junco phaeonotus phaeonotus,junco ojo de lumbre,Residente (R),-99.2333333,18.945
Lampornis amethystinus,colibrí garganta amatista,Residente (R),-100.1943898,17.4221123
Lampornis clemenciae,colibrí garganta azul,Residente (R),-99.1195214,20.0073064
Lampornis viridipallens,colibrí garganta verde,Residente (R),-91.7222222,16.1347222
Lampornis viridipallens viridipallens,colibrí garganta verde,Residente (R),-92.8333333,15.6166667
Lamprolaima rhami,"colibrí ala castaña, colibrí multicolor",Residente (R),-100.1943898,17.4221123
